id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10006288,Pacific Drive,2024-02-22T15:24:45.060998,PS5,"Acción, Conducción/Carreras",Kepler Interactive Limited,21/2/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Japonés, Ruso",4.71,152 calificaciones,88 %,5 %,3 %,2 %,3 %,"29,99 €","29,99 €","29,99 €","29,99 €"
227061,A Way Out,2024-02-22T15:24:48.581790,PS4,"Acción, Aventura",EA Swiss Sarl,22/3/2018,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.18,58.721 calificaciones,66 %,11 %,10 %,2 %,12 %,"29,99 €","5,99 €","29,99 €",Incluido
10008114,Train Sim World® 4: Standard Edition PS4 & PS5,2024-02-22T15:24:52.722853,"PS4, PS5",Simulación,Dovetail Games,26/9/2023,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.44,754 calificaciones,70 %,17 %,6 %,2 %,5 %,"44,99 €","17,99 €",,"17,99 €"
10005844,Dragon's Dogma 2,2024-02-22T15:24:57.462258,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,21/3/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"74,99 €","74,99 €","74,99 €","74,99 €"
10001967,Car Mechanic Simulator 2021,2024-02-22T15:25:00.864401,"PS4, PS5","Educativos, Conducción/Carreras, Simulador",PLAYWAY S.A,2/5/2022,No hay información,4.57,2.210 calificaciones,78 %,12 %,4 %,1 %,5 %,"29,99 €","16,49 €",,"16,49 €"
232492,Beat Saber,2024-02-22T15:25:05.131888,"PS4, PS5","Familia, Música/Ritmo, Grupo",HYPERBOLIC MAGNETISM S.R.O.,24/5/2023,No hay información,4.7,23.929 calificaciones,85 %,8 %,3 %,1 %,4 %,"29,99 €","29,99 €","29,99 €","29,99 €"
227108,Crossout,2024-02-22T15:25:10.078507,PS5,"Acción, Simulación, Únicos",Gaijin Distribution KFT,8/2/2022,"Alemán, Español, Francés (Francia), Inglés, Ruso",4.05,134.901 calificaciones,59 %,14 %,12 %,2 %,13 %,Gratis,Gratis,Gratis,Gratis
10000762,Marvel's Spider-Man Remastered,2024-02-22T15:25:13.893995,PS5,Acción,Sony Interactive Entertainment Europe,3/5/2023,"Checo, Danés, Español, Finlandés, Griego, Húngaro, Inglés, Neerlandés, Noruego, Portugués (Portugal), Sueco",4.7,205.753 calificaciones,84 %,8 %,4 %,1 %,3 %,"59,99 €","59,99 €","59,99 €","59,99 €"
216234,Gang Beasts,2024-02-22T15:25:17.193050,PS4,"Lucha, Acción, Grupo",BONELOAF LIMITED,11/12/2017,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.24,67.551 calificaciones,69 %,11 %,6 %,2 %,12 %,"19,99 €","19,99 €","19,99 €","19,99 €"
10005250,Monster Hunter Rise PS4 & PS5,2024-02-22T15:25:21.263641,"PS4, PS5","Acción, Juegos de rol",CE EUROPE LIMITED,19/1/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Árabe",4.55,5.289 calificaciones,76 %,14 %,4 %,2 %,4 %,"49,99 €","24,99 €",,"24,99 €"
10001615,Street Fighter™ 6,2024-02-22T15:25:25.290602,"PS4, PS5",Lucha,CE EUROPE LIMITED,1/6/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Árabe",4.45,8.346 calificaciones,72 %,12 %,10 %,1 %,5 %,"69,99 €","39,19 €",,"39,19 €"
224821,Cities: Skylines - PlayStation®4 Edition,2024-02-22T15:25:29.657105,PS4,"Simulación, Simulación, Simulador",PARADOX INTERACTIVE AB,14/8/2017,"Alemán, Coreano, Español, Francés (Francia), Inglés, Polaco, Portugués (Brasil), Ruso",4.06,25.241 calificaciones,62 %,14 %,6 %,3 %,15 %,"99,99 €","29,99 €",,"29,99 €"
